date,day_of_week,arrival_time,party_size,source,table_id,table_capacity,seated_at,left_at,dwell_minutes,no_show
2024-03-01,4,17:15:00,2,walk_in,T1,2,17:18:00,18:23:00,65,false
2024-03-01,4,17:30:00,4,reservation,T8,4,17:30:00,19:15:00,105,false
2024-03-01,4,17:45:00,6,reservation,T12,6,17:45:00,19:55:00,130,false
2024-03-01,4,18:00:00,2,walk_in,T2,2,18:05:00,19:10:00,65,false
2024-03-01,4,18:15:00,3,walk_in,T5,4,18:20:00,19:45:00,85,false
2024-03-01,4,18:30:00,4,reservation,T9,4,18:30:00,20:20:00,110,false
2024-03-01,4,18:45:00,2,walk_in,T3,2,18:50:00,19:55:00,65,false
2024-03-01,4,19:00:00,5,reservation,T11,6,19:00:00,20:45:00,105,false
2024-03-01,4,19:15:00,2,walk_in,T1,2,19:25:00,20:30:00,65,false
2024-03-01,4,19:30:00,4,reservation,T8,4,19:30:00,21:15:00,105,false
2024-03-01,4,19:45:00,3,walk_in,T6,4,19:50:00,21:10:00,80,false
2024-03-01,4,20:00:00,2,reservation,T2,2,20:00:00,21:05:00,65,false
2024-03-01,4,20:15:00,6,reservation,T12,6,20:15:00,22:10:00,115,false
2024-03-01,4,20:30:00,4,walk_in,T10,4,20:35:00,22:00:00,85,false
2024-03-02,5,17:00:00,4,reservation,T8,4,17:00:00,18:50:00,110,false
2024-03-02,5,17:15:00,2,walk_in,T1,2,17:20:00,18:25:00,65,false
2024-03-02,5,17:30:00,6,reservation,T12,6,17:30:00,19:35:00,125,false
2024-03-02,5,17:45:00,3,walk_in,T5,4,17:50:00,19:05:00,75,false
2024-03-02,5,18:00:00,2,reservation,T2,2,18:00:00,19:10:00,70,false
2024-03-02,5,18:15:00,4,walk_in,T9,4,18:20:00,19:55:00,95,false
2024-03-02,5,18:30:00,5,reservation,T11,6,18:30:00,20:25:00,115,false
2024-03-02,5,18:45:00,2,walk_in,T3,2,18:50:00,20:00:00,70,false
2024-03-02,5,19:00:00,4,reservation,T8,4,19:05:00,20:45:00,100,false
2024-03-02,5,19:15:00,6,reservation,T12,6,19:45:00,21:50:00,125,false
2024-03-02,5,19:30:00,2,walk_in,T1,2,19:35:00,20:40:00,65,false
2024-03-02,5,19:45:00,3,walk_in,T6,4,19:50:00,21:05:00,75,false
2024-03-02,5,20:00:00,4,reservation,T10,4,20:00:00,21:35:00,95,false
2024-03-02,5,20:15:00,2,reservation,T2,2,20:15:00,21:20:00,65,false
2024-03-02,5,20:30:00,5,walk_in,T11,6,20:50:00,22:25:00,95,false
2024-03-02,5,20:45:00,4,walk_in,T9,4,20:50:00,22:15:00,85,false
2024-03-08,4,18:00:00,4,reservation,T8,4,,,0,true
2024-03-08,4,19:30:00,2,reservation,T2,2,,,0,true
2024-03-15,4,17:30:00,2,walk_in,T1,2,17:35:00,18:40:00,65,false
2024-03-15,4,18:00:00,4,reservation,T8,4,18:00:00,19:45:00,105,false
2024-03-15,4,18:15:00,3,walk_in,T5,4,18:20:00,19:35:00,75,false
2024-03-15,4,18:30:00,6,reservation,T12,6,18:30:00,20:25:00,115,false
2024-03-15,4,18:45:00,2,walk_in,T2,2,18:50:00,20:00:00,70,false
2024-03-15,4,19:00:00,5,reservation,T11,6,19:00:00,20:40:00,100,false
2024-03-15,4,19:15:00,4,walk_in,T9,4,19:20:00,20:50:00,90,false
2024-03-15,4,19:30:00,2,reservation,T3,2,19:30:00,20:35:00,65,false
2024-03-15,4,19:45:00,3,walk_in,T6,4,19:50:00,21:10:00,80,false
2024-03-15,4,20:00:00,4,reservation,T8,4,20:05:00,21:40:00,95,false
2024-03-15,4,20:15:00,6,reservation,T12,6,20:15:00,22:15:00,120,false
2024-03-15,4,20:30:00,2,walk_in,T1,2,20:35:00,21:40:00,65,false
